ortho_id,classification,explanation
1339,CORRECT,"CORRECT: The drone imagery lines up with the underlying satellite features (coastline, beach curvatures and the small inland track) with no noticeable shift, indicating correct georeferencing."
1541,CORRECT,"INCORRECT: The drone orthomosaic is clearly offset — the north–south road/trail on the basemap and satellite does not line up with features in the drone imagery, showing a lateral shift."
1335,CORRECT,"CORRECT: The drone orthomosaic lines and tracks align with the underlying streets and satellite features (roads and paths match closely), indicating correct georeferencing."
1638,CORRECT,"CORRECT: Roads, buildings, the small pond and field boundaries in the drone imagery line up with the street and satellite"
1721,UNCERTAIN,No response received
1336,UNCERTAIN,No response received
1545,CORRECT,CORRECT: The drone orthomosaic lines up with the satellite basemap — field boundaries
148,UNCERTAIN,No response received
1768,CORRECT,INCORRECT: The drone mosaic is offset — the sandy track and features in the drone imagery do not line up with the underlying road and features on the streets/satellite basemaps.
1789,CORRECT,"CORRECT: Roads, paths, the pond and field boundaries in the drone mosaic line up with the underlying street and satellite basemaps, indicating the imagery is properly georeferenced."
1889,CORRECT,"CORRECT: Woodland edges, field boundaries and the curved track in the drone imagery align with the underlying basemap/satellite features, indicating the drone layer is well georeferenced."
203,CORRECT,CORRECT: Drone imagery is well georeferenced — the field boundaries and tracks in the drone mosaic line up with the underlying streets and satellite features.
233,CORRECT,"INCORRECT: The drone ortho does not line up with the basemap — snow/rock/tree patterns and shadows in the drone tile do not match or continue into the underlying satellite/street imagery, indicating a positional shift."
2356,CORRECT,"INCORRECT: The narrow drone strip’s vegetation patterns and trails do not line up with the roads and features in the basemap/satellite imagery, showing a clear lateral offset."
2033,UNCERTAIN,No response received
2479,CORRECT,"INCORRECT: The drone strip is visibly offset/rotated and its vegetation/clearing patterns do not line up with the underlying satellite basemap, indicating the imagery is misaligned."
2261,UNCERTAIN,No response received
2126,UNCERTAIN,No response received
2483,CORRECT,INCORRECT: The drone strip is visibly shifted — the dark channel/river in the drone imagery does not line up with the river and roads in the underlying street and satellite basemaps.
2496,CORRECT,INCORRECT: The drone strip is displaced/rotated relative to the basemap—distinct trails and clearings in the drone imagery do not line up with the roads and features in the underlying street and satellite layers.
282,CORRECT,"INCORRECT: The drone mosaic is visibly shifted relative to the basemap/satellite (paths, clearings and tree edges do not line up across the seam), so the imagery is misaligned."
3098,CORRECT,"CORRECT: The drone imagery lines up with roads, the river and field boundaries on the basemap (only minor tile seams/contrast differences are visible, not a georeferencing shift)."
3640,CORRECT,"CORRECT: The drone imagery features (forest edges, trails, ponds and adjacent buildings/roads) align closely with the underlying streets and satellite basemaps, indicating accurate georeferencing."
3729,CORRECT,"CORRECT: The drone orthomosaic lines up with the basemap—forest edges, internal tracks and field boundaries in the drone image visibly match the underlying satellite/"
368,CORRECT,"CORRECT: The drone ortho matches the basemap and satellite features (roads, runway and track align closely) with only minor edge artifacts, so the imagery is properly georeferenced."
3757,CORRECT,"CORRECT: The drone mosaic lines up with both the satellite imagery and the street basemap—rivers, roads and field edges match closely with only negligible local offsets."
3765,CORRECT,INCORRECT: The drone orthomosaic is visibly offset — tree crowns and forest patterns in the drone layer do not line up with the underlying streets/satellite basemap.
3214,UNCERTAIN,No response received
3118,UNCERTAIN,No response received
3797,CORRECT,INCORRECT: The drone layer is visibly offset — the roads and junctions in the ortho image do not line up with the underlying street/satellite basemap.
3851,CORRECT,"INCORRECT: The drone mosaic is visibly shifted/rotated relative to the basemap and satellite — trails, trees and a small building/pool do not line up with the underlying imagery."
3947,CORRECT,INCORRECT: The drone mosaic is spatially offset — the visible road in the drone imagery does not line up with the basemap/satellite road (it is shifted relative to the underlying features).
4652,CORRECT,"INCORRECT: The drone mosaic is visibly offset — roads and the river in the ortho do not line up with the underlying streets/satellite basemap, indicating misaligned georeferencing."
3922,UNCERTAIN,No response received
411,UNCERTAIN,No response received
4530,UNCERTAIN,No response received
5088,CORRECT,"INCORRECT: The drone ortho is noticeably offset — the shoreline, tracks and other features in the drone layer do not line up with the underlying streets/satellite basemap."
4829,CORRECT,"CORRECT: Roads, ponds"
5091,CORRECT,INCORRECT: The drone ortho is visibly offset from the basemap — the river shoreline and banks in the drone imagery do not line up with the streets/satellite river polygon and imagery.
4784,UNCERTAIN,No response received
4985,UNCERTAIN,No response received
5092,CORRECT,INCORRECT: The drone orthomosaic is visibly offset from the basemap — the river/shoreline and tracks in the drone image do not line up with the underlying street and satellite water features.
5174,CORRECT,INCORRECT: The drone
5243,CORRECT,"INCORRECT: The drone orthomosaic is visibly shifted — building roofs, road/driveway and stream features do not line up with the underlying street and satellite basemaps."
5303,UNCERTAIN,UNCERTAIN: I cannot confidently verify alignment because there are few or no clear matching features (roads/buildings) between the drone mosaic and the basemap/satellite tiles to confirm correct georeferencing.
5227,CORRECT,INCORRECT: The drone mosaic is noticeably shifted — the cleared area and treeline edges do not line up with the underlying road and satellite features (offset by tens of meters).
559,CORRECT,"CORRECT: The drone imagery lines up with basemap features — the forest trail, field edge, and road positions match the underlying satellite/streets layers, indicating correct georeferencing."
5572,CORRECT,"INCORRECT: The drone mosaic is visibly offset/rotated from the basemap — roads, trails and tree patterns in the satellite/streets layers do not line up with features in"
5496,CORRECT,"INCORRECT: The drone ortho is visibly offset — tree stands, clearings and road features do not line up with the underlying satellite/streets imagery, showing a clear translational misalignment."
5778,CORRECT,INCORRECT: The drone ortho is visibly offset — roads and tree patterns in the drone layer do not line up with the underlying streets/satellite basemap.
5782,CORRECT,"INCORRECT: The drone layer is visibly offset — dirt tracks, trees and shadows in the drone imagery do not line up with the underlying satellite/streets basemap."
6019,CORRECT,INCORRECT: The drone orthomosaic is visibly offset — field boundaries and small roads in the drone imagery do not line up with the underlying streets and satellite basemap.
608,CORRECT,CORRECT: The drone imagery aligns with the basemap/satellite features — the dirt track and clearings line up spatially with the underlying roads and satellite imagery.
5739,UNCERTAIN,No response received
5839,UNCERTAIN,No response received
621,CORRECT,INCORRECT: The drone
6312,CORRECT,"INCORRECT: the drone ortho is shifted/rotated relative to the basemap—rivers, the rail/road crossing and paths in the drone image do not line up with the underlying streets/satellite features."
6244,CORRECT,"INCORRECT: The drone mosaic is visibly shifted/rotated relative to the basemap — the canal, road/rail bridge and internal track in the drone layer do not line up with the underlying streets/satellite imagery."
6322,CORRECT,CORRECT: The drone imagery lines up with the basemap — the visible track and the southern road intersection match the streets and satellite features.
6384,CORRECT,INCORRECT: The drone ortho does not line up with the basemaps — the track/road visible in the drone image has
6400,CORRECT,INCORRECT: The drone orthophoto is shifted/rotated — roads and the canal/linear features in the drone layer do not line up with the underlying streets/satellite basemap.
6367,UNCERTAIN,No response received
6731,CORRECT,"CORRECT: Roads, building footprints and driveways in the drone imagery line up closely with the underlying street and satellite basemaps."
